sample_id,region,province_soil_name,soil_texture_class,climate_type,season,elevation_m,temp_c,rainfall_mm,nitrogen_pct,phosphorus_ppm,potassium_cmol,soil_ph,organic_matter_pct,moisture_pct,cation_exchange_capacity,base_saturation_pct,soil_depth_cm,bulk_density_gcc,drainage_class,near_water_body,slope_pct,farm_history,previous_crop,best_crop,top3_crops,suitability_spread,score_Palay (Rice),score_Mais (Corn),score_Cassava,score_Camote,score_Saging (Banana),score_Tubo (Sugarcane),score_Niyog (Coconut),score_Kape (Coffee),score_Kakaw (Cacao),score_Abaka (Abaca),score_Luya (Ginger),score_Langka (Jackfruit),score_Pechay,score_Sitaw (String Beans),score_Ampalaya,score_Malunggay (Moringa),score_Talong (Eggplant),score_Kamatis (Tomato),score_Sibuyas (Onion),score_Bawang (Garlic),score_Pinya (Pineapple),score_Mangga (Mango),score_Durian,score_Repolyo (Cabbage),score_Strawberry
SOIL004638,Central Visayas,Negros Clay,Clay,Type III,Wet Season,111.5,26.1,171.7,0.02,5.57,1.388,5.3,0.5,60.3,13.8,,120.0,1.13,Well Drained,0,1.8,Virgin Land,Unknown,Langka (Jackfruit),Langka (Jackfruit)|Pinya (Pineapple)|Malunggay (Moringa),49.7,75.0,75.0,67.6,61.1,69.0,78.1,79.0,76.6,75.5,76.7,73.4,83.2,56.8,46.7,41.2,80.0,56.4,45.4,48.4,43.8,82.3,63.0,70.8,33.5,40.7
SOIL005922,BARMM,Basilan Clay Loam,Clay Loam,Type IV,Wet Season,60.6,27.7,161.9,0.169,,0.823,6.7,2.08,56.1,23.4,77.2,120.0,1.21,Well Drained,0,0.8,Rotation,Unknown,Kakaw (Cacao),Kakaw (Cacao)|Luya (Ginger)|Langka (Jackfruit),46.0,87.5,99.5,71.2,73.3,99.9,98.3,99.2,98.0,100.0,97.5,100.0,100.0,83.2,73.4,86.4,100.0,82.6,83.7,74.0,66.1,85.7,81.8,91.5,70.0,54.0
SOIL004129,MIMAROPA,Occidental Mindoro Clay,Clay,Type I,Wet Season,361.0,28.3,448.8,0.214,7.68,0.881,6.1,2.36,46.9,18.2,56.9,90.0,1.24,Poorly Drained,0,6.3,Fallow,Unknown,Palay (Rice),Palay (Rice)|Tubo (Sugarcane)|Niyog (Coconut),60.4,99.1,76.7,54.4,53.5,83.1,86.7,84.9,69.6,76.8,78.5,76.5,79.6,48.4,52.5,51.5,71.2,49.4,46.1,49.0,46.6,71.9,53.8,83.7,38.7,40.4
SOIL006410,Cagayan Valley,Isabela Sandy Loam,Sandy Loam,Type III,Dry Season,352.9,30.7,353.9,0.099,9.72,0.847,7.1,0.78,22.1,21.7,54.1,75.0,1.3,Moderately Well Drained,0,2.8,Rotation,None,Cassava,Cassava|Niyog (Coconut)|Mais (Corn),40.1,62.9,94.0,98.3,88.3,89.7,80.9,94.4,58.2,78.8,72.6,71.3,92.0,75.3,80.6,83.6,89.4,83.6,76.5,79.3,75.7,80.7,93.0,62.9,62.4,58.3
SOIL005371,Caraga,Agusan Sandy Loam,Sandy Loam,Type II,Transition,96.3,28.6,155.3,0.242,37.67,2.245,5.9,3.52,47.2,18.8,70.1,120.0,1.11,Somewhat Poorly Drained,1,3.6,Rotation,Coconut,Kakaw (Cacao),Kakaw (Cacao)|Luya (Ginger)|Pinya (Pineapple),33.8,90.5,94.8,95.4,93.2,96.3,65.1,93.6,95.2,98.9,91.1,97.5,95.9,92.9,93.4,93.1,95.5,96.5,93.5,75.9,70.7,97.2,96.5,91.2,82.9,83.7
SOIL000108,Central Luzon,Bulacan Clay Loam,Clay Loam,Type I,Wet Season,82.4,26.9,341.5,0.101,4.07,1.251,6.2,0.64,73.3,18.6,52.8,150.0,1.34,Well Drained,1,1.9,Orchard,Coconut,Langka (Jackfruit),Langka (Jackfruit)|Luya (Ginger)|Abaka (Abaca),55.9,82.5,90.9,71.0,63.3,93.2,88.0,92.3,90.7,90.2,94.0,94.6,98.8,63.5,53.6,69.8,92.4,64.7,56.6,51.5,48.2,78.4,77.9,90.9,47.5,42.9
SOIL002269,Central Visayas,Negros Clay,Clay,Type III,Transition,27.5,24.1,251.2,0.077,18.65,3.261,5.5,0.73,33.4,7.5,50.5,60.0,1.46,Moderately Well Drained,0,2.2,Orchard,Rice,Langka (Jackfruit),Langka (Jackfruit)|Pinya (Pineapple)|Kakaw (Cacao),43.1,81.8,84.8,79.9,84.0,79.3,72.5,83.6,80.8,84.9,78.8,80.0,85.6,83.9,74.5,68.3,81.4,82.7,65.3,45.1,42.5,85.3,83.9,82.5,57.8,69.0
SOIL006035,CAR,Baguio Clay Loam,Clay Loam,Type III,Wet Season,976.9,21.8,347.9,0.248,,2.611,4.7,4.0,74.0,7.0,61.3,60.0,1.22,Well Drained,0,0.8,Monocrop,Unknown,Abaka (Abaca),Abaka (Abaca)|Kape (Coffee)|Kakaw (Cacao),50.7,88.0,89.1,74.9,61.1,81.6,86.7,94.0,95.7,95.4,97.6,88.4,93.5,62.6,47.5,61.4,91.1,65.8,58.1,52.5,46.9,87.0,80.8,87.9,60.9,47.1
SOIL001238,Caraga,Surigao Clay Loam,Clay Loam,Type II,Transition,93.9,29.2,169.9,0.138,11.53,1.541,6.7,1.09,64.4,10.7,81.3,90.0,1.25,Excessively Drained,1,3.1,Orchard,Vegetable,Malunggay (Moringa),Malunggay (Moringa)|Niyog (Coconut)|Kamatis (Tomato),46.2,85.9,88.1,84.0,79.6,86.8,67.3,95.2,79.1,86.5,80.8,85.4,85.7,87.3,73.1,89.5,96.3,89.0,91.0,56.2,50.1,81.4,86.0,78.9,75.4,61.2
SOIL000988,Davao Region,Davao Clay Loam,Clay Loam,Type IV,Dry Season,899.6,22.6,188.7,0.323,4.17,2.551,5.5,4.41,27.5,,,120.0,1.08,Well Drained,0,7.2,Orchard,Unknown,Mais (Corn),Mais (Corn)|Tubo (Sugarcane)|Langka (Jackfruit),26.7,73.3,100.0,84.1,83.0,98.2,100.0,93.3,82.2,79.1,86.3,80.6,100.0,100.0,82.1,84.4,91.4,100.0,94.1,76.4,75.5,90.7,96.6,73.9,90.9,86.0
